Sentence #,Word,Tag
Sentence 1,Going,O
NaN,into,O
NaN,the,O
NaN,Sept.,O
NaN,12,O
NaN,special,O
NaN,joint,O
NaN,meeting,O
NaN,with,O
NaN,the,O
NaN,other,O
NaN,groups,O
NaN,impacted,O
NaN,by,O
NaN,the,O
NaN,Gelman,O
NaN,plume,O
NaN,the,O
NaN,Scio,O
NaN,Township,O
NaN,Board,O
NaN,held,O
NaN,a,O
NaN,special,O
NaN,meeting,O
NaN,itself,O
NaN,a,O
NaN,few,O
NaN,days,O
NaN,prior,O
NaN,to,O
NaN,officially,O
NaN,decide,O
NaN,what,O
NaN,direction,O
NaN,at,O
NaN,least,O
NaN,in,O
NaN,the,O
NaN,short,O
NaN,term,O
NaN,it,O
NaN,wanted,O
NaN,to,O
NaN,take,O
NaN,in,O
NaN,dealing,O
NaN,with,O
NaN,the,O
NaN,spread,O
NaN,of,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,and,O
NaN,its,O
NaN,impact,O
NaN,on,O
NaN,local,O
NaN,water,O
NaN,sources,O
NaN,.,O
Sentence 2,From,O
NaN,1966,O
NaN,until,O
NaN,1986,O
NaN,(,O
NaN,later,O
NaN,Pall,O
NaN,Corporation,O
NaN,and,O
NaN,now,O
NaN,Danaher,O
NaN,),O
NaN,used,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,in,O
NaN,their,O
NaN,manufacturing,O
NaN,process,O
NaN,.,O
Sentence 3,In,O
NaN,1985,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,was,O
NaN,discovered,O
NaN,in,O
NaN,residential,O
NaN,drinking,O
NaN,water,O
NaN,wells,O
NaN,in,O
NaN,the,O
NaN,area,O
NaN,.,O
Sentence 4,Unfortunately,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,does,O
NaN,not,O
NaN,break,O
NaN,down,O
NaN,quickly,O
NaN,in,O
NaN,water,O
NaN,.,O
Sentence 5,A,O
NaN,large,O
NaN,plume,O
NaN,still,O
NaN,exists,O
NaN,underground,O
NaN,in,O
NaN,the,O
NaN,soil,O
NaN,and,O
NaN,water,O
NaN,even,O
NaN,after,O
NaN,all,O
NaN,this,O
NaN,time.,O
NaN,plume,O
NaN,happens,O
NaN,when,O
NaN,a,O
NaN,chemical,O
NaN,is,O
NaN,moving,O
NaN,underground,O
NaN,in,O
NaN,soil,O
NaN,or,O
NaN,water,O
NaN,.,O
Sentence 6,In,O
NaN,this,O
NaN,case,O
NaN,the,O
NaN,chemical,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,is,O
NaN,moving,O
NaN,through,O
NaN,groundwater,O
NaN,.,O
Sentence 7,He,O
NaN,said,O
NaN,plan,O
NaN,called,O
NaN,for,O
NaN,using,O
NaN,controlled,O
NaN,pump,O
NaN,and,O
NaN,treat,O
NaN,with,O
NaN,reinjection,O
NaN,to,O
NaN,the,O
NaN,contaminated,O
NaN,aquifer,O
NaN,to,O
NaN,flush,O
NaN,out,O
NaN,and,O
NaN,clean,O
NaN,up,O
NaN,the,O
NaN,dioxane,B-chem
NaN,and,O
NaN,only,O
NaN,use,O
NaN,pump,O
NaN,and,O
NaN,treat,O
NaN,with,O
NaN,discharge,O
NaN,to,O
NaN,Honey,O
NaN,Creek,O
NaN,at,O
NaN,0,O
NaN,-,O
NaN,3,B-quant
NaN,ppb,I-quant
NaN,if,O
NaN,the,O
NaN,reinjection,O
NaN,option,O
NaN,proved,O
NaN,not,O
NaN,to,O
NaN,work,O
NaN,.,O
Sentence 1,Concerns,O
NaN,over,O
NaN,the,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,plume,O
NaN,which,O
NaN,is,O
NaN,impacting,O
NaN,parts,O
NaN,of,O
NaN,Scio,O
NaN,Township,O
NaN,have,O
NaN,reached,O
NaN,a,O
NaN,point,O
NaN,where,O
NaN,many,O
NaN,in,O
NaN,the,O
NaN,impacted,O
NaN,area,O
NaN,are,O
NaN,calling,O
NaN,on,O
NaN,their,O
NaN,local,O
NaN,government,O
NaN,representatives,O
NaN,to,O
NaN,appeal,O
NaN,to,O
NaN,the,O
NaN,Federal,O
NaN,government,O
NaN,for,O
NaN,help,O
NaN,.,O
Sentence 2,Specifically,O
NaN,many,O
NaN,are,O
NaN,calling,O
NaN,for,O
NaN,the,O
NaN,plume,O
NaN,to,O
NaN,be,O
NaN,designated,O
NaN,as,O
NaN,a,O
NaN,Superfund,O
NaN,cleanup,O
NaN,site,O
NaN,and,O
NaN,for,O
NaN,the,O
NaN,U.S.,O
NaN,Environmental,O
NaN,Protection,O
NaN,Agency,O
NaN,(,O
NaN,EPA,O
NaN,),O
NaN,to,O
NaN,come,O
NaN,in,O
NaN,to,O
NaN,help,O
NaN,lead,O
NaN,its,O
NaN,cleanup,O
NaN,.,O
Sentence 3,According,O
NaN,to,O
NaN,the,O
NaN,EPA,O
NaN,’s,O
NaN,website,O
NaN,the,O
NaN,Superfund,O
NaN,program,O
NaN,is,O
NaN,responsible,O
NaN,for,O
NaN,cleaning,O
NaN,up,O
NaN,some,O
NaN,of,O
NaN,the,O
NaN,nation,O
NaN,’s,O
NaN,most,O
NaN,contaminated,O
NaN,land,O
NaN,and,O
NaN,responding,O
NaN,to,O
NaN,environmental,O
NaN,emergencies,O
NaN,,O
NaN,oil,B-chem
NaN,spills,O
NaN,and,O
NaN,natural,O
NaN,disasters,O
NaN,.,O
Sentence 4,To,O
NaN,protect,O
NaN,public,O
NaN,health,O
NaN,and,O
NaN,the,O
NaN,environment,O
NaN,the,O
NaN,Superfund,O
NaN,program,O
NaN,focuses,O
NaN,on,O
NaN,making,O
NaN,a,O
NaN,visible,O
NaN,and,O
NaN,lasting,O
NaN,difference,O
NaN,in,O
NaN,communities,O
NaN,ensuring,O
NaN,that,O
NaN,people,O
NaN,can,O
NaN,live,O
NaN,and,O
NaN,work,O
NaN,in,O
NaN,healthy,O
NaN,vibrant,O
NaN,places,O
NaN,.,O
Sentence 5,According,O
NaN,to,O
NaN,the,O
NaN,Washtenaw,O
NaN,County,O
NaN,Health,O
NaN,Department,O
NaN,’s,O
NaN,website,O
NaN,,O
NaN,the,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,contamination,O
NaN,is,O
NaN,not,O
NaN,a,O
NaN,new,O
NaN,problem,O
NaN,.,O
Sentence 6,From,O
NaN,1966,O
NaN,until,O
NaN,1986,O
NaN,Gelman,O
NaN,Sciences,O
NaN,(,O
NaN,later,O
NaN,Pall,O
NaN,Corporation,O
NaN,and,O
NaN,now,O
NaN,Danaher,O
NaN,),O
NaN,used,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,in,O
NaN,their,O
NaN,manufacturing,O
NaN,process,O
NaN,the,O
NaN,county,O
NaN,health,O
NaN,department,O
NaN,said,O
NaN,.,O
Sentence 7,In,O
NaN,1985,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,was,O
NaN,discovered,O
NaN,in,O
NaN,residential,O
NaN,drinking,O
NaN,water,O
NaN,wells,O
NaN,in,O
NaN,the,O
NaN,area,O
NaN,.,O
Sentence 8,Unfortunately,O
NaN,1,B-chem
NaN,4-dioxane,I-chem
NaN,does,O
NaN,not,O
NaN,break,O
NaN,down,O
NaN,quickly,O
NaN,in,O
NaN,water,O
NaN,.,O
Sentence 9,A,O
NaN,large,O
NaN,plume,O
NaN,still,O
NaN,exists,O
NaN,underground,O
NaN,in,O
NaN,the,O
NaN,soil,O
NaN,and,O
NaN,water,O
NaN,even,O
NaN,after,O
NaN,all,O
NaN,this,O
NaN,time,O
NaN,.,O
Sentence 1,CHEBOYGAN,O
NaN,COUNTY-,O
Sentence 2,The,O
NaN,United,O
NaN,States,O
NaN,Coast,O
NaN,Guard,O
NaN,has,O
NaN,successfully,O
NaN,freed,O
NaN,a,O
NaN,large,O
NaN,tug,O
NaN,boat,O
NaN,and,O
NaN,barge,O
NaN,that,O
NaN,had,O
NaN,run,O
NaN,aground,O
NaN,in,O
NaN,the,O
NaN,Round,O
NaN,Island,O
NaN,Passage,O
NaN,in,O
NaN,the,O
NaN,Straits,O
NaN,of,O
NaN,Mackinac,O
NaN,late,O
NaN,last,O
NaN,week.,O
Sentence 4,,O
Sentence 6,The,O
NaN,Coast,O
NaN,Guard,O
NaN,had,O
NaN,received,O
NaN,a,O
NaN,report,O
NaN,that,O
NaN,the,O
NaN,vessel,O
NaN,Defiance,O
NaN,a,O
NaN,720,O
NaN,foot,O
NaN,integrated,O
NaN,tug,O
NaN,and,O
NaN,barge,O
NaN,,O
NaN,had,O
NaN,run,O
NaN,aground,O
NaN,in,O
NaN,the,O
NaN,passage,O
NaN,between,O
NaN,Mackinac,O
NaN,Island,O
NaN,and,O
NaN,Round,O
NaN,Island,O
NaN,in,O
NaN,the,O
NaN,Straits,O
NaN,Friday,O
NaN,.,O
Sentence 7,This,O
NaN,was,O
NaN,reported,O
NaN,to,O
NaN,the,O
NaN,Coast,O
NaN,Guard,O
NaN,Sector,O
NaN,Sault,O
NaN,Ste,O
NaN,.,O
Sentence 8,Marie,O
NaN,command,O
NaN,center,O
NaN,at,O
NaN,2:52,O
NaN,p.m.,O
Sentence 11,The,O
NaN,vessel,O
NaN,had,O
NaN,"97,918",B-quant
NaN,gallons,I-quant
NaN,of,O
NaN,diesel,B-chem
NaN,fuel,O
NaN,and,O
NaN,2.917,O
NaN,tons,O
NaN,of,O
NaN,stone,O
NaN,onboard,O
NaN,.,O
Sentence 12,Precautionary,O
NaN,measures,O
NaN,were,O
NaN,taken,O
NaN,to,O
NaN,assess,O
NaN,any,O
NaN,damage,O
NaN,and,O
NaN,there,O
NaN,were,O
NaN,no,O
NaN,reported,O
NaN,injuries,O
NaN,,O
NaN,pollution,O
NaN,or,O
NaN,flooding,O
NaN,.,O
Sentence 13,The,O
NaN,Coast,O
NaN,Guard,O
NaN,established,O
NaN,a,O
NaN,safety,O
NaN,zone,O
NaN,in,O
NaN,this,O
