Sentence 1,WASHINGTON,O,,
NaN,(,O,,
NaN,AP,O,,
NaN,),O,,
NaN,-,O,,
Sentence 2,The,O,,
NaN,Trump,O,,
NaN,administration,O,,
NaN,moved,O,,
NaN,Thursday,O,,
NaN,to,O,,
NaN,revoke,O,,
NaN,regulations,O,,
NaN,on,O,,
NaN,methane,B-chem,,
NaN,leaks,O,,
NaN,from,O,,
NaN,oil,B-chem,,
NaN,facilities,O,,
NaN,,,O,
NaN,a,O,,
NaN,proposal,O,,
NaN,environmental,O,,
NaN,advocates,O,,
NaN,said,O,,
NaN,would,O,,
NaN,renounce,O,,
NaN,key,O,,
NaN,federal,O,,
NaN,authority,O,,
NaN,to,O,,
NaN,regulate,O,,
NaN,the,O,,
NaN,climate,O,,
NaN,-,O,,
NaN,damaging,O,,
NaN,gas,O,,
NaN,.,O,,
Sentence 3,The,O,,
NaN,proposed,O,,
NaN,rule,O,,
NaN,follows,O,,
Sentence 4,President,O,,
NaN,Donald,O,,
NaN,Trump,O,,
NaN,’s,O,,
NaN,directions,O,,
NaN,to,O,,
NaN,remove,O,,
NaN,\“unnecessary,O,,
NaN,and,O,,
NaN,duplicative,O,,
NaN,regulatory,O,,
NaN,burdens,O,,
NaN,from,O,,
NaN,the,O,,
NaN,oil,B-chem,,
NaN,and,O,,
NaN,gas,O,,
NaN,industry,\,O,
NaN,”,O,,
NaN,Environmental,O,,
NaN,Protection,O,,
NaN,Agency,O,,
NaN,Administrator,O,,
NaN,Andrew,O,,
NaN,Wheeler,O,,
NaN,said,O,,
NaN,in,O,,
NaN,a,O,,
NaN,statement,O,,
NaN,.,O,,
Sentence 5,Exxon,O,,
NaN,Mobil,O,,
NaN,and,O,,
NaN,some,O,,
NaN,other,O,,
NaN,oil,B-chem,,
NaN,giants,O,,
NaN,\”wary,O,,
NaN,of,O,,
NaN,blowback,O,,
NaN,from,O,,
NaN,growing,O,,
NaN,public,O,,
NaN,concern,O,,
NaN,over,O,,
NaN,global,O,,
NaN,warming\,O,,
NaN,”,O,,
NaN,joined,O,,
NaN,environmental,O,,
NaN,groups,O,,
NaN,in,O,,
NaN,urging,O,,
NaN,the,O,,
NaN,Trump,O,,
NaN,administration,O,,
NaN,to,O,,
NaN,drop,O,,
NaN,the,O,,
NaN,rollback,O,,
NaN,on,O,,
NaN,methane,O,,
NaN,controls,O,,
NaN,,,O,
NaN,although,O,,
NaN,several,O,,
NaN,state,O,,
NaN,-,O,,
NaN,level,O,,
NaN,and,O,,
NaN,national,O,,
NaN,industry,O,,
NaN,groups,O,,
NaN,welcomed,O,,
NaN,the,O,,
NaN,easing,O,,
NaN,.,O,,
Sentence 6,The,O,,
NaN,step,O,,
NaN,would,O,,
NaN,be,O,,
NaN,the,O,,
NaN,latest,O,,
NaN,in,O,,
NaN,a,O,,
NaN,series,O,,
NaN,unwinding,O,,
NaN,the,O,,
NaN,Obama,O,,
NaN,administration,O,,
NaN,’s,O,,
NaN,efforts,O,,
NaN,to,O,,
NaN,cut,O,,
NaN,climate,O,,
NaN,-,O,,
NaN,changing,O,,
NaN,emissions,O,,
NaN,from,O,,
NaN,the,O,,
NaN,oil,O,,
NaN,,,O,
NaN,gas,O,,
NaN,and,O,,
NaN,coal,O,,
NaN,industries,O,,
NaN,,,O,
NaN,including,O,,
NaN,a,O,,
NaN,2016,O,,
NaN,rule,O,,
NaN,regulating,O,,
NaN,oil,O,,
NaN,-,O,,
NaN,industry,O,,
NaN,methane,B-chem,,
NaN,leaks,O,,
NaN,as,O,,
NaN,a,O,,
NaN,pollutant,O,,
NaN,under,O,,
NaN,the,O,,
NaN,federal,O,,
NaN,Clean,O,,
NaN,Air,O,,
NaN,Act,O,,
NaN,.,O,,
Sentence 7,Trump,O,,
NaN,has,O,,
NaN,pushed,O,,
NaN,to,O,,
NaN,open,O,,
NaN,vast,O,,
NaN,expanses,O,,
NaN,of,O,,
NaN,U.S.,O,,
NaN,wilderness,O,,
NaN,and,O,,
NaN,coastline,O,,
NaN,to,O,,
NaN,oil,O,,
NaN,and,O,,
NaN,gas,O,,
NaN,drilling,O,,
NaN,,,O,
NaN,speed,O,,
NaN,construction,O,,
NaN,of,O,,
NaN,petroleum,B-chem,,
NaN,pipelines,O,,
NaN,and,O,,
NaN,ease,O,,
NaN,regulations,O,,
NaN,on,O,,
NaN,the,O,,
NaN,industry,O,,
NaN,,,O,
NaN,dismissing,O,,
NaN,calls,O,,
NaN,from,O,,
NaN,scientists,O,,
NaN,in,O,,
NaN,and,O,,
NaN,out,O,,
NaN,of,O,,
NaN,government,O,,
NaN,for,O,,
NaN,rapid,O,,
NaN,cuts,O,,
NaN,in,O,,
NaN,oil,O,,
NaN,,,O,
NaN,gas,O,,
NaN,and,O,,
NaN,coal,O,,
NaN,emissions,O,,
NaN,to,O,,
NaN,stave,O,,
NaN,off,O,,
NaN,the,O,,
NaN,worst,O,,
NaN,of,O,,
NaN,climate,O,,
NaN,change,O,,
NaN,.,O,,
Sentence 8,Asked,O,,
NaN,about,O,,
NaN,global,O,,
NaN,warming,O,,
NaN,this,O,,
NaN,week,O,,
NaN,,,O,
NaN,Trump,O,,
NaN,only,O,,
NaN,lauded,O,,
NaN,the,O,,
NaN,United,O,,
NaN,States,O,,
NaN,’,O,,
NaN,\“tremendous,O,,
NaN,wealth.\,O,,
NaN,”,O,,
Sentence 9,\″The,O,,
NaN,wealth,O,,
NaN,is,O,,
NaN,under,O,,
NaN,its,O,,
NaN,feet,\,O,
NaN,”,O,,
Sentence 10,he,O,,
NaN,said,O,,
NaN,,,O,
NaN,praising,O,,
NaN,oil,O,,
NaN,and,O,,
NaN,gas,O,,
NaN,production,O,,
NaN,.,O,,
Sentence 11,Methane,O,,
NaN,,,O,
NaN,the,O,,
NaN,main,O,,
NaN,component,O,,
NaN,of,O,,
NaN,natural,O,,
NaN,gas,O,,
NaN,,,O,
NaN,frequently,O,,
NaN,leaks,O,,
NaN,or,O,,
NaN,is,O,,
NaN,intentionally,O,,
NaN,released,O,,
NaN,during,O,,
NaN,drilling,O,,
NaN,operations,O,,
NaN,.,O,,
Sentence 12,It,O,,
NaN,traps,O,,
NaN,far,O,,
NaN,more,O,,
NaN,heat,O,,
NaN,in,O,,
NaN,the,O,,
NaN,atmosphere,O,,
NaN,than,O,,
NaN,carbon,O,,
NaN,dioxide,O,,
NaN,,,O,
NaN,doing,O,,
NaN,25,O,,
NaN,times,O,,
NaN,the,O,,
NaN,damage,O,,
NaN,over,O,,
NaN,the,O,,
NaN,long,O,,
NaN,term,O,,
NaN,despite,O,,
NaN,surviving,O,,
NaN,for,O,,
NaN,less,O,,
NaN,time,O,,
NaN,,,O,
NaN,according,O,,
NaN,to,O,,
NaN,the,O,,
NaN,EPA.The,O,,
NaN,oil,O,,
NaN,and,O,,
NaN,gas,O,,
NaN,industry,O,,
NaN,is,O,,
NaN,the,O,,
NaN,nation,O,,
NaN,’s,O,,
NaN,primary,O,,
NaN,source,O,,
NaN,of,O,,
NaN,methane,O,,
NaN,emissions,O,,
NaN,,,O,
NaN,according,O,,
NaN,to,O,,
NaN,the,O,,
NaN,EPA,O,,
NaN,,,O,
NaN,accounting,O,,
NaN,for,O,,
NaN,nearly,O,,
NaN,one,O,,
NaN,-,O,,
NaN,third,O,,
NaN,in,O,,
NaN,2016.Under,O,,
NaN,Trump,O,,
NaN,,,O,
NaN,both,O,,
NaN,the,O,,
NaN,Interior,O,,
NaN,Department,O,,
NaN,and,O,,
NaN,the,O,,
NaN,EPA,O,,
NaN,have,O,,
NaN,proposed,O,,
NaN,a,O,,
NaN,series,O,,
NaN,of,O,,
NaN,rules,O,,
NaN,\”some,O,,
NaN,blocked,O,,
NaN,by,O,,
NaN,courts\,O,,
NaN,”,O,,
NaN,to,O,,
NaN,loosen,O,,
NaN,regulation,O,,
NaN,of,O,,
NaN,methane,B-chem,,
NaN,emissions,O,,
NaN,.,O,,
Sentence 13,President,O,,
NaN,Barack,O,,
NaN,Obama,O,,
Sentence 14,’s,O,,
NaN,administration,O,,
NaN,had,O,,
NaN,cited,O,,
NaN,legal,O,,
NaN,authority,O,,
NaN,under,O,,
NaN,the,O,,
NaN,Clean,O,,
NaN,Air,O,,
NaN,Act,O,,
NaN,to,O,,
NaN,require,O,,
