Words,POS,Tag
GOING,_SP,0
INTO,VBG,0
THE,IN,0
SEPT.,DT,0
12,NNP,0
SPECIAL,CD,0
JOINT,JJ,0
MEETING,JJ,0
WITH,NN,0
THE,IN,0
OTHER,DT,0
GROUPS,JJ,0
IMPACTED,NNS,0
BY,VBN,0
THE,IN,0
GELMAN,DT,0
PLUME,NNP,0
THE,VB,0
SCIO,DT,0
TOWNSHIP,NNP,0
BOARD,NNP,0
HELD,NNP,0
A,VBD,0
SPECIAL,DT,0
MEETING,JJ,0
ITSELF,NN,0
A,PRP,0
FEW,DT,0
DAYS,JJ,0
PRIOR,NNS,0
TO,RB,0
OFFICIALLY,TO,0
DECIDE,RB,0
WHAT,VB,0
DIRECTION,WDT,0
AT,NN,0
LEAST,IN,0
IN,JJS,0
THE,IN,0
SHORT,DT,0
TERM,JJ,0
IT,NN,0
WANTED,PRP,0
TO,VBD,0
TAKE,TO,0
IN,VB,0
DEALING,RP,0
WITH,VBG,0
THE,IN,0
SPREAD,DT,0
OF,NN,0
1,IN,1
4-DIOXANE,CD,1
AND,CD,0
ITS,CC,0
IMPACT,PRP$,0
ON,NN,0
LOCAL,IN,0
WATER,JJ,0
SOURCES,NN,0
.,NNS,0
FROM,_SP,0
1966,IN,0
UNTIL,CD,0
1986,IN,0
(,CD,0
LATER,-LRB-,0
PALL,RB,0
CORPORATION,NNP,0
AND,NNP,0
NOW,CC,0
DANAHER,RB,0
),NNP,0
USED,-RRB-,0
1,VBD,1
4-DIOXANE,CD,1
IN,CD,0
THEIR,IN,0
MANUFACTURING,PRP$,0
PROCESS,NN,0
.,NN,0
IN,_SP,0
1985,IN,0
1,CD,1
4-DIOXANE,CD,1
WAS,CD,0
DISCOVERED,VBD,0
IN,VBN,0
RESIDENTIAL,IN,0
DRINKING,JJ,0
WATER,NN,0
WELLS,NN,0
IN,NNS,0
THE,IN,0
AREA,DT,0
.,NN,0
UNFORTUNATELY,_SP,0
1,RB,1
4-DIOXANE,CD,1
DOES,CD,0
NOT,VBZ,0
BREAK,RB,0
DOWN,VB,0
QUICKLY,RP,0
IN,RB,0
WATER,IN,0
.,NN,0
A,_SP,0
LARGE,DT,0
PLUME,JJ,0
STILL,NN,0
EXISTS,RB,0
UNDERGROUND,VBZ,0
IN,RB,0
THE,IN,0
SOIL,DT,0
AND,NN,0
WATER,CC,0
EVEN,NN,0
AFTER,RB,0
ALL,IN,0
THIS,PDT,0
TIME.,DT,0
PLUME,NN,0
HAPPENS,.,0
WHEN,NN,0
A,VBZ,0
CHEMICAL,WRB,0
IS,DT,0
MOVING,NN,0
UNDERGROUND,VBZ,0
IN,VBG,0
SOIL,RB,0
OR,IN,0
WATER,NN,0
.,CC,0
IN,_SP,0
THIS,IN,0
CASE,DT,0
THE,NN,0
CHEMICAL,DT,0
1,NN,1
4-DIOXANE,CD,1
IS,CD,0
MOVING,VBZ,0
THROUGH,VBG,0
GROUNDWATER,IN,0
.,NN,0
HE,_SP,0
SAID,PRP,0
PLAN,VBD,0
CALLED,NN,0
FOR,VBN,0
USING,IN,0
CONTROLLED,VBG,0
PUMP,VBN,0
AND,NN,0
TREAT,CC,0
WITH,NN,0
REINJECTION,IN,0
TO,NN,0
THE,IN,0
CONTAMINATED,DT,0
AQUIFER,VBN,0
TO,NN,0
FLUSH,TO,0
OUT,VB,0
